Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,134.490005,136.539993,133.100006,136.000000,133.617691,8352500
2021-05-07,136.940002,138.690002,136.289993,137.850006,135.435287,6893700
2021-05-10,136.020004,136.679993,128.820007,128.940002,126.681366,19537200
2021-05-11,125.250000,128.559998,124.769997,128.369995,126.121338,11948000
2021-05-12,126.029999,127.129997,123.680000,124.620003,122.437035,13529600
2021-05-13,127.120003,128.479996,125.870003,127.110001,124.883408,10633000
2021-05-14,128.630005,131.419998,127.809998,130.149994,127.870148,9391100
2021-05-17,129.289993,129.830002,127.709999,129.800003,127.526291,5917400
2021-05-18,130.639999,131.240005,128.789993,128.910004,126.651886,8651100
2021-05-19,127.190002,130.830002,126.449997,130.660004,128.371231,8112900
2021-05-20,131.529999,133.279999,131.460007,132.639999,130.316544,9208400
2021-05-21,132.139999,132.690002,130.490005,131.460007,129.157227,8674000
2021-05-24,131.330002,134.000000,131.330002,132.910004,130.581818,8229300
2021-05-25,133.539993,134.300003,132.800003,133.750000,131.407104,7271400
2021-05-26,133.869995,134.520004,132.220001,133.089996,130.758652,6663300
2021-05-27,132.729996,134.639999,132.710007,133.639999,131.299026,7379300
2021-05-28,134.149994,135.639999,133.949997,134.539993,132.183258,7042200
2021-06-01,135.100006,136.070007,133.529999,133.940002,131.593781,7059600
2021-06-02,133.179993,134.729996,132.470001,133.820007,132.146790,6026000
2021-06-03,132.649994,133.389999,131.419998,131.779999,130.132278,6644000
2021-06-04,132.529999,135.050003,132.199997,134.339996,132.660263,7416700
2021-06-07,133.699997,133.770004,132.639999,133.320007,131.653015,5563300
2021-06-08,134.059998,135.389999,133.000000,134.199997,132.522018,9657900
2021-06-09,135.100006,135.350006,132.789993,132.889999,131.228394,6717200
2021-06-10,133.050003,135.100006,132.580002,134.220001,132.541763,5522300
2021-06-11,133.800003,134.649994,133.649994,134.619995,132.936768,6529900
2021-06-14,135.199997,137.309998,134.789993,137.309998,135.593124,7912600
2021-06-15,137.139999,137.380005,135.229996,135.580002,133.884750,5723600
2021-06-16,136.470001,137.050003,133.660004,134.949997,133.262634,7404700
2021-06-17,134.309998,136.619995,134.089996,135.350006,133.657654,6618300
2021-06-18,134.550003,134.580002,132.240005,133.000000,131.337021,12753600
2021-06-21,133.050003,135.100006,132.660004,133.960007,132.285034,6371400
2021-06-22,134.220001,135.309998,133.289993,135.080002,133.391022,5976400
2021-06-23,134.889999,136.229996,134.809998,135.520004,133.825516,6613800
2021-06-24,136.619995,138.509995,136.350006,137.919998,136.195511,7941700
2021-06-25,138.449997,139.470001,136.970001,137.649994,135.928864,7949200
2021-06-28,138.229996,140.169998,137.979996,139.720001,137.972977,6645500
2021-06-29,139.630005,142.949997,139.250000,142.619995,140.836731,6885400
2021-06-30,142.350006,143.630005,141.839996,142.929993,141.142853,6449700
2021-07-01,142.910004,143.020004,140.350006,140.800003,139.039505,6094100
2021-07-02,141.990005,142.679993,141.250000,142.580002,140.797226,5399100
2021-07-06,143.000000,143.179993,139.679993,141.190002,139.424622,7095200
2021-07-07,142.240005,142.360001,139.059998,139.970001,138.219879,5034900
2021-07-08,137.720001,138.869995,135.600006,138.289993,136.560852,7501100
2021-07-09,137.889999,141.729996,137.809998,141.429993,139.661606,7356800
2021-07-12,141.399994,143.020004,141.199997,142.470001,140.688629,6786500
2021-07-13,142.440002,142.660004,140.419998,141.179993,139.414734,5657600
2021-07-14,143.500000,146.339996,142.500000,143.750000,141.952606,11305700
2021-07-15,144.119995,144.139999,140.720001,141.460007,139.691254,6667400
2021-07-16,141.869995,142.509995,139.529999,139.710007,137.963120,5914300
2021-07-19,138.320007,138.899994,136.809998,138.789993,137.054626,9371300
2021-07-20,139.020004,140.419998,137.199997,139.550003,137.805130,6020400
2021-07-21,139.649994,142.220001,139.649994,142.169998,140.392365,6161900
2021-07-22,142.000000,142.850006,141.500000,142.440002,140.658997,3862600
2021-07-23,143.449997,144.990005,142.029999,144.880005,143.068481,6310400
2021-07-26,143.949997,144.380005,142.240005,143.500000,141.705719,6253900
2021-07-27,142.490005,143.000000,138.210007,140.929993,139.167862,7575800
2021-07-28,141.270004,142.910004,140.139999,142.440002,140.658997,9303400
2021-07-29,146.500000,151.520004,146.410004,150.990005,149.102097,19446900
2021-07-30,149.199997,150.410004,148.360001,149.800003,147.926956,8404800
2021-08-02,150.000000,152.279999,148.210007,148.860001,146.998703,10823800
2021-08-03,148.910004,149.580002,146.559998,147.949997,146.100082,6223400
2021-08-04,148.020004,149.199997,147.330002,148.220001,146.366714,5556400
2021-08-05,147.240005,147.470001,144.570007,146.830002,144.994110,7169200
2021-08-06,146.130005,148.229996,145.919998,146.279999,144.450958,5733300
2021-08-09,146.789993,147.720001,145.750000,146.919998,145.082962,4966600
2021-08-10,147.320007,147.500000,142.399994,145.869995,144.046082,4197100
2021-08-11,146.059998,146.789993,144.399994,146.679993,144.845978,6216000
2021-08-12,147.759995,148.000000,146.389999,147.149994,145.310089,5777700
2021-08-13,147.000000,149.309998,146.929993,148.639999,146.781464,5764000
2021-08-16,148.399994,149.080002,146.720001,148.130005,146.277847,4410800
2021-08-17,146.949997,147.000000,143.570007,144.410004,142.604355,7256800
2021-08-18,143.839996,144.660004,141.979996,142.179993,140.402222,6546500
2021-08-19,140.649994,141.449997,138.960007,140.610001,138.851868,8661000
2021-08-20,140.610001,142.259995,140.300003,142.089996,140.313354,6141000
2021-08-23,142.649994,144.610001,142.350006,144.139999,142.337723,6936900
2021-08-24,144.589996,145.589996,143.839996,144.460007,142.653732,7066800
2021-08-25,144.460007,145.429993,143.470001,143.869995,142.071106,5721600
2021-08-26,143.190002,143.759995,141.619995,142.380005,140.599747,6825100
2021-08-27,142.199997,144.949997,141.919998,144.850006,143.038849,6274500
2021-08-30,145.589996,147.860001,145.559998,145.940002,144.115219,5263600
2021-08-31,146.800003,147.529999,144.559998,146.690002,144.855850,7820500
2021-09-01,146.839996,148.100006,146.220001,146.449997,145.292358,6451400
2021-09-02,146.699997,146.889999,144.509995,145.119995,143.972885,6006700
2021-09-03,145.119995,145.990005,144.229996,144.630005,143.486771,5505800
2021-09-07,144.679993,144.759995,143.119995,143.750000,142.613708,6361200
2021-09-08,143.360001,143.619995,141.490005,142.520004,141.393433,5981300
2021-09-09,142.470001,143.539993,141.449997,141.580002,140.460861,6190800
2021-09-10,143.130005,146.000000,142.539993,142.679993,141.552170,6263300
2021-09-13,144.020004,144.729996,142.029999,143.410004,142.276413,4312800
2021-09-14,144.470001,144.809998,140.619995,141.139999,140.024338,6442100
2021-09-15,140.809998,141.000000,137.520004,138.240005,137.147278,11289100
2021-09-16,137.320007,138.960007,137.320007,138.399994,137.306000,6719900
2021-09-17,137.809998,138.000000,133.139999,133.600006,132.543945,14550500
2021-09-20,131.470001,133.119995,130.610001,132.759995,131.710571,9647100
2021-09-21,133.589996,133.910004,131.279999,131.750000,130.708557,6175300
2021-09-22,132.589996,133.490005,131.979996,133.009995,131.958588,5163000
2021-09-23,133.750000,135.160004,133.220001,133.910004,132.851486,5918900
2021-09-24,133.110001,134.550003,132.800003,133.880005,132.821732,4554600
2021-09-27,132.429993,134.039993,132.020004,133.479996,132.424881,4319500
2021-09-28,131.750000,132.740005,129.699997,129.899994,128.873184,8851700
2021-09-29,130.589996,131.449997,128.889999,129.279999,128.258087,7037200
2021-09-30,130.350006,131.080002,128.699997,128.979996,127.960457,6976800
2021-10-01,129.800003,130.020004,126.470001,128.710007,127.692604,6863700
2021-10-04,128.919998,129.789993,125.919998,126.680000,125.678650,8470300
2021-10-05,126.129997,128.770004,125.690002,127.529999,126.521919,9244300
2021-10-06,126.550003,128.270004,126.070000,128.059998,127.047729,8513700
2021-10-07,129.259995,130.720001,127.589996,127.839996,126.829468,8010600
2021-10-08,128.589996,128.589996,126.209999,126.550003,125.549675,6920500
2021-10-11,126.059998,127.230003,124.879997,124.940002,123.952393,6288200
2021-10-12,125.379997,125.470001,122.169998,122.949997,121.978127,10531500
2021-10-13,125.199997,126.320000,123.519997,125.040001,124.051605,12373800
2021-10-14,126.160004,129.300003,125.989998,128.660004,127.642990,10637900
2021-10-15,129.020004,130.479996,128.679993,130.199997,129.170822,7609700
2021-10-18,129.320007,130.270004,128.240005,130.119995,129.091446,5290000
2021-10-19,131.020004,132.800003,130.320007,132.500000,131.452637,7330700
2021-10-20,132.500000,133.009995,131.259995,132.160004,131.115326,4804100
2021-10-21,132.000000,133.259995,131.399994,133.050003,131.998306,4579200
2021-10-22,132.899994,133.690002,131.429993,131.619995,130.579590,5216200
2021-10-25,131.820007,133.169998,131.300003,131.929993,130.887131,4876300
2021-10-26,132.899994,133.789993,131.070007,131.940002,130.897079,5802200
2021-10-27,131.940002,132.360001,130.509995,131.199997,130.162903,5090400
2021-10-28,131.990005,133.830002,131.869995,133.690002,132.633240,5016700
2021-10-29,132.860001,133.679993,132.449997,133.039993,131.988358,5251100
2021-11-01,132.440002,134.869995,132.440002,134.809998,133.744370,6903000
2021-11-02,134.550003,135.729996,134.119995,135.229996,134.161057,7321900
2021-11-03,135.750000,138.850006,135.039993,138.479996,137.385361,13216000
2021-11-04,156.320007,159.580002,153.300003,156.110001,154.876007,48321500
2021-11-05,157.070007,168.550003,155.910004,163.029999,161.741302,27226600
2021-11-08,163.210007,167.710007,161.279999,165.850006,164.539017,14541400
2021-11-09,166.509995,169.520004,164.380005,166.740005,165.421982,12353900
2021-11-10,165.089996,166.119995,159.029999,159.800003,158.536835,11327100
2021-11-11,161.800003,165.559998,161.389999,164.419998,163.120316,7624200
2021-11-12,165.000000,166.020004,164.330002,164.940002,163.636215,7371000
2021-11-15,166.500000,169.940002,165.809998,168.509995,167.177994,12350200
2021-11-16,168.110001,183.729996,167.059998,181.809998,180.372864,33338200
2021-11-17,180.789993,186.330002,178.630005,183.539993,182.089172,21678900
2021-11-18,185.240005,188.720001,182.750000,186.320007,184.847214,15542600
2021-11-19,184.690002,186.600006,182.300003,185.000000,183.537643,11889100
2021-11-22,181.110001,188.770004,180.979996,181.399994,179.966095,16062800
2021-11-23,180.339996,181.330002,177.020004,180.940002,179.509750,10696200
2021-11-24,179.520004,180.779999,177.330002,180.710007,179.281570,7886200
2021-11-26,175.669998,180.250000,175.059998,175.740005,174.350845,7835900
2021-11-29,179.479996,184.070007,179.000000,183.740005,182.287613,10440500
2021-11-30,183.220001,186.809998,180.339996,180.559998,179.132751,19309200
2021-12-01,180.889999,183.149994,175.320007,175.630005,174.900406,10637700
2021-12-02,172.089996,177.889999,171.210007,177.029999,176.294586,13101400
2021-12-03,178.039993,180.270004,173.710007,176.509995,175.776733,12111800
2021-12-06,176.880005,176.979996,172.270004,175.449997,174.721146,8577500
2021-12-07,179.070007,184.779999,178.500000,183.720001,182.956787,9910100
2021-12-08,183.009995,183.720001,180.779999,182.630005,181.871323,4799400
2021-12-09,181.770004,187.839996,181.509995,182.259995,181.502853,9398900
2021-12-10,185.550003,185.550003,181.149994,183.880005,183.116135,6854800
2021-12-13,186.850006,191.300003,183.110001,183.320007,182.558456,16346800
2021-12-14,181.199997,183.899994,179.410004,181.979996,181.224014,8542800
2021-12-15,183.970001,189.779999,179.979996,189.279999,188.493698,11082000
2021-12-16,190.300003,192.679993,176.110001,178.149994,177.409927,14873000
2021-12-17,175.729996,180.119995,175.020004,176.800003,176.065536,16232300
2021-12-20,174.289993,177.080002,173.460007,176.669998,175.936081,6306400
2021-12-21,179.380005,180.149994,174.220001,179.580002,178.833984,7702400
2021-12-22,179.000000,181.520004,177.630005,181.380005,180.626511,5227200
2021-12-23,181.529999,183.710007,181.380005,182.740005,181.980865,4918900
2021-12-27,183.210007,186.410004,183.020004,186.330002,185.555954,4865900
2021-12-28,186.589996,186.729996,183.490005,184.820007,184.052231,5399400
2021-12-29,184.679993,187.389999,184.559998,186.199997,185.426483,5417200
2021-12-30,185.880005,186.520004,182.309998,182.729996,181.970901,4108400
